,發文ID,文章ID,發文時間,更新時間,留言內容,按讚數,關鍵字
70,9cf1850c-f84e-4a8b-b1b0-dc1ee198cbef,240324910,2022-10-24 05:26:45.404000+00:00,2022-10-24T05:26:45.404Z,吃過屋馬茶六森森悠熹瑚同昭日堂燒肉風間還是最喜歡瑚同也只有這間比較會一直再去吃昭日堂也不錯但比較不是一直吃肉大部分燒肉套餐好像都這樣啦就套餐內含沙拉米食甜點什麼吃很飽但想專心吃肉話還是最愛瑚同森森之前有次疫情期間全部由員工烤好再送上桌那次吃超驚艷但後來再訪文心洲際店都覺得普🥲茶六很久以前吃覺得每盤肉調味都一樣超膩這陣子再吃過一次整體應該是還不錯但我覺得不怎麼令人有印象⋯要吃燒肉時不會特別想去吃燒肉風間餐點怎麼樣沒印象但服務很差不會想再去,1.0,"['吃過', '屋馬', '茶六森森悠', '熹瑚', '同昭日堂', '燒肉', '風間', '還是', '最', '喜歡', '瑚', '同', '也', '只有', '這間', '比', '較', '會', '一直', '再', '去', '吃', '昭', '日堂', '也', '不錯', '但', '比', '較', '不是', '一直', '吃', '肉', '大部分', '燒肉', '套餐', '好像', '都', '這樣', '啦', '就', '套餐', '內', '含沙', '拉米', '食甜點', '什麼', '吃', '很飽', '但', '想', '專心', '吃', '肉', '話', '還是', '最愛瑚', '同森森', '之前', '有次', '疫情', '期間', '全部', '由', '員工', '烤', '好', '再', '送', '上桌', '那次', '吃', '超驚艷', '但', '後來', '再訪', '文心洲際店', '都', '覺得', '普', '\U0001f972', '茶', '六', '很久以前', '吃', '覺得', '每盤', '肉', '調味', '都', '一樣', '超膩', '這陣子', '再', '吃過', '一次', '整體', '應該', '是還', '不錯', '但', '我', '覺得', '不怎麼', '令人', '有', '印象', '⋯', '要', '吃', '燒肉', '時', '不會', '特別', '想', '去', '吃', '燒肉', '風間', '餐點', '怎麼樣', '沒', '印象', '但', '服務', '很', '差', '不會', '想', '再', '去']"
71,75f4ac1f-632d-4caf-bdc9-bfeefb41b7a4,240324910,2022-10-24 05:32:54.654000+00:00,2022-10-24T05:32:54.654Z,老井有夠雷ㄟ完全吃不出是和牛品質,0.0,"['老井', '有夠', '雷', 'ㄟ', '完全', '吃不出', '是', '和', '牛', '品質']"
72,53ecebf0-825d-4633-a579-f29073847409,240324910,2022-10-24 05:51:01.947000+00:00,2022-10-24T05:51:01.947Z,大推老井到現在都還很難忘入口即化牛肉,0.0,"['大', '推老井到', '現在', '都還', '很', '難', '忘', '入口', '即化', '牛肉']"
73,bba421d6-e0aa-4aa7-9dcf-ca33900e5ff7,240324910,2022-10-24 06:31:28.231000+00:00,2022-10-24T06:31:28.231Z,台中燒肉敘禾／澄居Dcardwwwdcardtwffoodp240324836cidd0667d159c874339ad64c41264604403這兩間有人有心得嗎求分享🙏🏻,0.0,"['台中', '燒肉', '敘禾', '／', '澄居', 'Dcardwwwdcardtwffoodp240324836cidd0667d159c874339ad64c41264604403', '這', '兩間', '有', '人', '有', '心得', '嗎', '求', '分享', '🙏', '🏻']"
75,259881a3-8188-499a-aae9-0e8d9ce89d63,240324910,2022-10-24 06:41:25.377000+00:00,2022-10-24T06:41:25.377Z,老幹杯肉質真好但真好貴如果想吃燒肉一個人1000多茶六我很推,0.0,"['老幹杯', '肉質', '真', '好', '但', '真', '好', '貴', '如果', '想', '吃', '燒肉', '一個人', '1000', '多', '茶', '六', '我', '很', '推']"
76,2b6d31d7-b0a3-4c35-aad4-87b41a1ea68b,240324910,2022-10-24 06:44:49.303000+00:00,2022-10-24T06:44:49.303Z,蛤我跟男友去吃森森覺得還不錯說XDDD可能我們太少去吃了,0.0,"['蛤', '我', '跟', '男友', '去', '吃', '森森', '覺得', '還', '不錯', '說', 'XDDD', '可能', '我們', '太少', '去', '吃', '了']"
77,853ec1e7-7985-4e10-8e22-364fc8d92d4d,240324910,2022-10-24 06:57:38.047000+00:00,2022-10-24T06:57:38.047Z,雲火重新開了但估狗好像還顯示停業,0.0,"['雲火', '重新開', '了', '但', '估狗', '好像', '還顯示', '停業']"
78,9004b368-5293-4547-b866-f53db791a32a,240324835,2022-10-24 00:27:09.998000+00:00,2022-10-24T00:27:09.998Z,檸檬塔🤩,0.0,"['檸檬塔', '🤩']"
79,0518b4d6-0019-4147-ba1e-6f1ca40de718,240324835,2022-10-24 02:25:38.038000+00:00,2022-10-24T02:25:38.038Z,推薦城隍廟附近一家店吉十肉桂捲也超厲害,1.0,"['推薦', '城隍廟', '附近', '一家', '店吉十肉桂', '捲', '也', '超', '厲害']"
80,5bf52dce-dfc3-400d-b39d-fa926c0c6685,240324063,2022-10-23 18:05:31.118000+00:00,2022-10-23T18:05:31.118Z,晴光推山豬蛋餅icomnyUv9ww,2.0,"['晴光', '推', '山豬', '蛋餅', 'icomnyUv9ww']"
81,74af7e08-5e7e-4a62-be8b-e46afc0ad899,240324063,2022-10-23 23:32:11.078000+00:00,2022-10-23T23:32:11.078Z,你是邱比特嗎,2.0,"['你', '是', '邱比特', '嗎']"
82,09eb7941-e51f-4f38-b253-6836b8d24537,240324063,2022-10-24 04:05:07.719000+00:00,2022-10-24T04:05:07.719Z,台北越式貴好多嗚嗚我高雄愛店河粉才70,1.0,"['台', '北越', '式', '貴', '好多', '嗚嗚', '我', '高雄', '愛店', '河粉', '才', '70']"
83,c6d1d7dd-2fdc-4b71-91ab-4c1f3c58ad47,240324063,2022-10-24 04:23:02.228000+00:00,2022-10-24T04:24:24.064Z,黃記不錯還有對面牛棚幾圈甜甜圈不是傳統炸甜甜圈比較像半烤半煎口味不少熱冷口感都不錯美食街那些燒烤攤就算了基本上都是貴或難吃不然就是同時貴又難吃鹹水雞不錯腿庫飯換老闆然後漲價了很可惜原本那對老夫妻老闆很有趣阿圖應該就不用我說了冬天快來了排隊要排更久,1.0,"['黃記', '不錯', '還有', '對面', '牛棚', '幾圈', '甜甜圈', '不是', '傳統', '炸甜', '甜圈', '比', '較', '像', '半', '烤', '半', '煎', '口味', '不少', '熱冷', '口感', '都', '不錯', '美食', '街', '那些', '燒烤', '攤', '就算', '了', '基本上', '都是', '貴', '或', '難', '吃', '不然', '就是', '同時', '貴', '又', '難', '吃', '鹹', '水雞', '不錯', '腿庫', '飯換', '老', '闆', '然後', '漲價', '了', '很', '可惜', '原本', '那', '對', '老', '夫妻', '老', '闆', '很', '有趣', '阿圖', '應該', '就', '不用', '我', '說', '了', '冬天', '快來', '了', '排隊', '要', '排', '更', '久']"
84,5d60f710-fac6-4186-9c10-16986c871729,240324063,2022-10-24 06:41:29.508000+00:00,2022-10-24T06:41:29.508Z,丁香豆花,0.0,"['丁香', '豆花']"
85,bcb46094-fb4a-4150-bd8d-3b2c8a8aa86d,240323913,2022-10-23 16:28:30.705000+00:00,2022-10-23T16:28:30.705Z,中山公園後面有一間賣豆腐旁邊賣丼飯還不錯,1.0,"['中山公園', '後面', '有', '一間', '賣豆腐', '旁邊', '賣', '丼', '飯', '還', '不錯']"
